性别,出生日期,学历,入职日期,服务违章,安全违章,事故
1,42,5,19,1,0,1
0,50,0,4,1,0,0
1,55,2,20,1,0,0
1,42,0,16,0,0,0
1,45,0,16,0,0,0
1,40,0,16,1,0,0
1,43,0,16,0,0,0
1,54,2,18,0,0,0
1,57,2,1,1,0,0
1,54,2,18,1,1,0
1,52,2,18,1,0,0
1,49,0,15,0,0,1
1,40,0,13,0,1,0
1,50,0,17,0,0,0
1,50,2,14,0,0,0
1,46,2,19,0,0,0
1,47,2,15,0,1,0
1,42,0,18,0,0,0
1,39,0,12,1,0,1
1,41,0,17,0,0,0
0,47,1,2,1,1,0
1,36,0,9,1,1,1
1,54,0,20,1,0,0
1,38,1,8,0,0,0
1,43,0,15,0,0,0
1,45,0,16,0,0,0
1,55,0,18,0,1,0
0,41,0,11,0,0,0
1,47,0,19,0,0,0
1,42,0,16,0,0,0
1,54,0,20,0,1,0
1,48,2,19,0,0,0
1,47,0,23,0,0,0
1,42,3,5,1,1,0
1,56,2,16,0,0,0
0,42,6,22,0,0,0
1,50,0,20,0,0,0
0,40,6,23,1,0,0
1,50,1,9,0,0,0
1,51,2,14,0,1,0
1,55,0,16,1,0,0
1,43,1,8,0,1,1
1,54,2,13,0,0,0
1,49,0,15,0,0,0
1,54,2,31,0,0,0
1,54,0,18,0,0,0
1,42,1,20,0,0,0
1,56,2,16,0,1,0
1,53,2,14,0,1,0
1,51,2,11,1,0,0
1,54,2,14,1,0,0
0,49,2,2,1,0,0
1,55,0,19,0,1,0
1,47,1,8,1,0,0
1,41,0,17,0,1,0
1,45,1,9,0,0,0
1,35,0,1,0,0,0
0,44,2,17,0,0,0
1,48,1,16,1,0,0
1,42,0,17,0,0,0
1,42,6,14,1,1,1
1,30,3,1,0,0,0
1,35,1,7,0,0,0
1,34,1,2,0,0,0
1,50,2,19,0,0,0
1,33,1,9,0,0,0
1,31,1,7,1,0,1
1,40,5,12,0,0,0
1,40,0,5,0,0,0
1,50,1,7,0,0,0
1,44,2,11,0,0,0
0,35,0,7,0,0,0
1,35,1,7,0,1,0
1,36,7,10,0,0,0
1,36,1,7,0,0,0
1,34,1,7,0,0,1
1,30,1,7,1,1,0
1,35,1,7,1,1,1
1,33,1,7,0,0,0
1,33,1,7,1,0,0
1,33,1,9,0,0,0
1,31,0,8,0,0,0
0,37,0,18,0,0,0
1,33,1,7,0,0,1
1,31,1,7,1,0,0
1,51,2,9,0,1,1
0,31,1,7,0,0,0
1,29,1,7,1,0,1
1,42,1,8,1,0,0
1,36,1,7,0,0,0
1,27,4,3,0,0,0
1,52,2,20,0,0,0
1,35,1,7,0,0,0
0,50,6,31,0,0,0
0,45,6,27,0,0,0
0,41,1,21,0,0,0
0,46,3,20,0,0,0
0,54,6,20,0,0,0
1,52,2,20,0,0,0
1,47,3,20,0,0,0
1,48,3,19,0,0,0
1,49,5,19,0,0,0
1,57,3,18,0,0,0
1,42,4,16,0,0,0
1,44,4,14,0,0,0
1,40,4,14,0,0,0
1,41,3,11,0,0,0
1,39,4,8,0,0,0
1,37,6,11,0,0,0
1,37,6,14,0,0,0
1,39,1,9,0,0,0
1,47,1,8,0,0,0
1,41,9,12,0,0,0
1,49,9,22,0,0,0
1,29,1,5,0,0,0
0,27,5,3,0,0,0
